[0.014s] Invoking command in '/home/krri/OS0_Insta360-Calibration/sensor_ws/build/ouster_sensor_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/krri/OS0_Insta360-Calibration/sensor_ws/build/ouster_sensor_msgs -- -j4 -l4
[0.056s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_generator_c[0m
[0.067s] [  1%] Built target ouster_sensor_msgs__cpp
[0.068s] [ 12%] Built target ouster_sensor_msgs__rosidl_generator_c
[0.077s] [ 12%] Built target ament_cmake_python_symlink_ouster_sensor_msgs
[0.083s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_fastrtps_cpp[0m
[0.085s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_introspection_cpp[0m
[0.092s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_cpp[0m
[0.095s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_fastrtps_c[0m
[0.109s] [ 23%] Built target ouster_sensor_msgs__rosidl_typesupport_cpp
[0.112s] [ 34%] Built target ouster_sensor_msgs__rosidl_typesupport_introspection_cpp
[0.115s] [ 46%] Built target ouster_sensor_msgs__rosidl_typesupport_fastrtps_cpp
[0.117s] [ 57%] Built target ouster_sensor_msgs__rosidl_typesupport_fastrtps_c
[0.124s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_introspection_c[0m
[0.129s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_c[0m
[0.140s] [ 68%] Built target ouster_sensor_msgs__rosidl_typesupport_c
[0.146s] [ 79%] Built target ouster_sensor_msgs__rosidl_typesupport_introspection_c
[0.168s] [ 79%] Built target ouster_sensor_msgs
[0.193s] [ 80%] Built target ouster_sensor_msgs__py
[0.203s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_generator_py[0m
[0.220s] [ 90%] Built target ouster_sensor_msgs__rosidl_generator_py
[0.235s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_fastrtps_c__pyext[0m
[0.237s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_c__pyext[0m
[0.242s] [35m[1mConsolidate compiler generated dependencies of target ouster_sensor_msgs__rosidl_typesupport_introspection_c__pyext[0m
[0.251s] [ 93%] Built target ouster_sensor_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.257s] [ 96%] Built target ouster_sensor_msgs__rosidl_typesupport_c__pyext
[0.260s] [100%] Built target ouster_sensor_msgs__rosidl_typesupport_introspection_c__pyext
[0.389s] running egg_info
[0.390s] writing ouster_sensor_msgs.egg-info/PKG-INFO
[0.390s] writing dependency_links to ouster_sensor_msgs.egg-info/dependency_links.txt
[0.391s] writing top-level names to ouster_sensor_msgs.egg-info/top_level.txt
[0.393s] reading manifest file 'ouster_sensor_msgs.egg-info/SOURCES.txt'
[0.393s] writing manifest file 'ouster_sensor_msgs.egg-info/SOURCES.txt'
[0.421s] [100%] Built target ament_cmake_python_build_ouster_sensor_msgs_egg
[0.434s] Invoked command in '/home/krri/OS0_Insta360-Calibration/sensor_ws/build/ouster_sensor_msgs' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/krri/OS0_Insta360-Calibration/sensor_ws/build/ouster_sensor_msgs -- -j4 -l4
[0.444s] Invoking command in '/home/krri/OS0_Insta360-Calibration/sensor_ws/build/ouster_sensor_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/krri/OS0_Insta360-Calibration/sensor_ws/build/ouster_sensor_msgs
[0.451s] -- Install configuration: ""
[0.452s] -- Execute custom install script
[0.452s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/share/ament_index/resource_index/rosidl_interfaces/ouster_sensor_msgs
[0.453s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/include/ouster_sensor_msgs/ouster_sensor_msgs/msg/detail/packet_msg__functions.h
[0.453s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/include/ouster_sensor_msgs/ouster_sensor_msgs/msg/detail/packet_msg__struct.h
[0.453s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/include/ouster_sensor_msgs/ouster_sensor_msgs/msg/detail/packet_msg__type_support.h
[0.453s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/include/ouster_sensor_msgs/ouster_sensor_msgs/msg/detail/telemetry__functions.h
[0.453s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/include/ouster_sensor_msgs/ouster_sensor_msgs/msg/detail/telemetry__struct.h
[0.454s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/include/ouster_sensor_msgs/ouster_sensor_msgs/msg/detail/telemetry__type_support.h
[0.454s] -- Up-to-date symlink: /home/krri/OS0_Insta360-Calibration/sensor_ws/install/ouster_sensor_msgs/include/ouster_sensor_msgs/ouster_sensor_msgs/msg/packet_msg.h
